name value unit note
Sref 10.52 m2 area_riferimento_dia_3.66m
Mfairing 1900 kg fairing_Falcon9
Mpayload 4000 kg payload_ipotetico_documentato_baseline_fasi_7-8
M0 550000 kg lift_off_mass_escl_payload
Minert1 25600 kg dry_mass_stadio1
Minert2 4000 kg dry_mass_stadio2
MProp1 411000 kg propellente_stadio1
MProp2 107500 kg propellente_stadio2
Thrust1 981000 N vacuum_thrust_per_motore_Merlin1D
MR1 321.7 kg_s mass_flow_per_motore_Merlin1D
Aexit1 0.665 m2 area_uscita_ugello_Merlin1D
n_engine1 9 - numero_motori_stadio1
Thrust2 981000 N vacuum_thrust_MVac
MR2 287.5 kg_s mass_flow_MVac
Aexit2 7.07 m2 area_uscita_ugello_MVac
n_engine2 1 - numero_motori_stadio2
